,sub,hemi,label,norm_mean_sulcal_depth,mean_cortical_thickness,type
72,n083t2,rh,ifs,0.192034647,2.021,Non-Tertiary
100,n083t2,lh,ifs,0.207526788,2.188,Non-Tertiary
128,n083t2,rh,imfs_h,0.167532817,1.861,Non-Tertiary
156,n083t2,lh,imfs_h,0.224370643,1.996,Non-Tertiary
184,n083t2,rh,imfs_v,0.258229166,1.585,Non-Tertiary
212,n083t2,lh,imfs_v,0.173222661,1.89,Non-Tertiary
240,n083t2,rh,iprs,0.219757557,2.537,Non-Tertiary
268,n083t2,lh,iprs,0.268093467,2.653,Non-Tertiary
296,n083t2,rh,pimfs,-0.048782643,1.863,Tertiary
324,n083t2,lh,pimfs,-0.071789697,2.144,Tertiary
352,n083t2,rh,pmfs_a,0.38828814,2.095,Tertiary
380,n083t2,lh,pmfs_a,0.13642168,2.178,Tertiary
408,n083t2,rh,pmfs_i,0.002448127,2.174,Tertiary
436,n083t2,lh,pmfs_i,0.13755013,1.916,Tertiary
464,n083t2,rh,pmfs_p,0.198748156,2.706,Tertiary
492,n083t2,lh,pmfs_p,0.095665842,2.03,Tertiary
520,n083t2,rh,sfs_a,0.105639838,2.089,Non-Tertiary
548,n083t2,lh,sfs_a,0.341562659,2.281,Non-Tertiary
576,n083t2,rh,sfs_p,0.285540372,2.265,Non-Tertiary
604,n083t2,lh,sfs_p,0.192948535,2.337,Non-Tertiary
632,n083t2,rh,sprs,0.18022126,2.61,Non-Tertiary
660,n083t2,lh,sprs,0.278057277,2.641,Non-Tertiary
17,n086t2,rh,central,0.222398743,1.843,Non-Tertiary
45,n086t2,lh,central,0.180970833,1.876,Non-Tertiary
73,n086t2,rh,ifs,0.19469066,2.096,Non-Tertiary
101,n086t2,lh,ifs,0.236040056,2.022,Non-Tertiary
129,n086t2,rh,imfs_h,0.225415066,1.905,Non-Tertiary
157,n086t2,lh,imfs_h,0.30263859,2.401,Non-Tertiary
185,n086t2,rh,imfs_v,0.147766769,1.901,Non-Tertiary
213,n086t2,lh,imfs_v,0.133829236,1.765,Non-Tertiary
241,n086t2,rh,iprs,0.348854274,2.439,Non-Tertiary
269,n086t2,lh,iprs,0.269207418,2.443,Non-Tertiary
297,n086t2,rh,pimfs,0.041841283,1.886,Tertiary
325,n086t2,lh,pimfs,0.009871206,2.23,Tertiary
353,n086t2,rh,pmfs_a,0.114783607,2.061,Tertiary
381,n086t2,lh,pmfs_a,0.023147283,2.007,Tertiary
409,n086t2,rh,pmfs_i,-0.050425749,2.049,Tertiary
437,n086t2,lh,pmfs_i,0.178754494,1.947,Tertiary
465,n086t2,rh,pmfs_p,0.12655133,2.365,Tertiary
493,n086t2,lh,pmfs_p,0.054749463,2.41,Tertiary
521,n086t2,rh,sfs_a,0.32910952,1.929,Non-Tertiary
549,n086t2,lh,sfs_a,0.20457758,2.351,Non-Tertiary
577,n086t2,rh,sfs_p,0.217900559,2.268,Non-Tertiary
605,n086t2,lh,sfs_p,0.234125778,2.351,Non-Tertiary
633,n086t2,rh,sprs,0.283996433,2.606,Non-Tertiary
661,n086t2,lh,sprs,0.333111078,2.564,Non-Tertiary
18,n098t2,rh,central,0.260906994,2.592,Non-Tertiary
46,n098t2,lh,central,0.231706187,2.539,Non-Tertiary
74,n098t2,rh,ifs,0.295265257,2.602,Non-Tertiary
102,n098t2,lh,ifs,0.26583612,2.567,Non-Tertiary
130,n098t2,rh,imfs_h,0.308245242,2.067,Non-Tertiary
158,n098t2,lh,imfs_h,0.126218572,2.259,Non-Tertiary
186,n098t2,rh,imfs_v,0.156491026,1.73,Non-Tertiary
214,n098t2,lh,imfs_v,0.38685587,2.387,Non-Tertiary
242,n098t2,rh,iprs,0.205031365,2.48,Non-Tertiary
270,n098t2,lh,iprs,0.289836377,2.866,Non-Tertiary
298,n098t2,rh,pimfs,0.046572145,2.061,Tertiary
326,n098t2,lh,pimfs,-0.095993996,2.739,Tertiary
354,n098t2,rh,pmfs_a,0.117427275,2.066,Tertiary
382,n098t2,lh,pmfs_a,-0.037734017,2.696,Tertiary
410,n098t2,rh,pmfs_i,-0.324294627,3.067,Tertiary
438,n098t2,lh,pmfs_i,-0.088739946,2.995,Tertiary
466,n098t2,rh,pmfs_p,-0.071799107,2.495,Tertiary
494,n098t2,lh,pmfs_p,0.100096114,2.482,Tertiary
522,n098t2,rh,sfs_a,0.236868501,2.333,Non-Tertiary
550,n098t2,lh,sfs_a,0.270658046,2.846,Non-Tertiary
578,n098t2,rh,sfs_p,0.250705481,2.563,Non-Tertiary
606,n098t2,lh,sfs_p,0.256460786,2.641,Non-Tertiary
634,n098t2,rh,sprs,0.284362018,2.374,Non-Tertiary
662,n098t2,lh,sprs,0.307636857,2.762,Non-Tertiary
19,n100t2,rh,central,0.225901455,1.911,Non-Tertiary
47,n100t2,lh,central,0.216795489,1.973,Non-Tertiary
75,n100t2,rh,ifs,0.147138566,2.364,Non-Tertiary
